세계수	1	30	1.1	90	1.2
사슴	2	125	1.1	1387	1.2
잔디	3	576	1.1	21364	1.2
벚꽃	4	7229	1.19	158735	1.3
꽃밭	5	27451	1.1	1415300	1.2
래서판다	6	104247	1.1	12618958	1.2
양	7	395876	1.1	112511899	1.2
침엽수	8	8804158	1.1	1733473256	1.2
야생화 꽃밭	9	48950388	1.1	26707659858	1.2
순록	10	2215458136	1.1	6339765847356	1.2
사막여우	11	100269985971	1.1	1504910247199160	1.2
자작나무 숲	12	4538144920885	1.1	357230047079635000	1.2
무지개	12	440278266739093	1.19	211004439309215000000	1.3
야자수	13	42714579534625100	1.1	124633618510458000000000	1.2
플라밍고	14	13005805209025000000	1.1	183182948899776000000000000	1.2
물범	15	3960028893600270000000	1.1	269237090029625000000000000000	1.2
갈매기	16	1205756090154800000000000	1.1	395717019968275000000000000000000	1.2
바다거북	17	367130591217386000000000000	1.19	581613624910825000000000000000000000	1.3
산호	18	27946131084920100000000000000	1.1	854839169437367000000000000000000000000	1.2
물고기	19	8509083811575910000000000000000	1.1	1256418306425350000000000000000000000000000	1.2
오징어	20	17430009105557900000000000000000000	1.1	11433957088154300000000000000000000000000000000	1.2
혹등고래	21	35703634392051700000000000000000000000	1.19	104054019290527000000000000000000000000000000000000	1.3
